tanggal_data,harga,keterangan,jenis_libur,is_libur
2024-02-01,52916,,,False
2024-02-02,53538,,,False
2024-02-03,53222,,,False
2024-02-04,50000,,,False
2024-02-05,56797,,,False
2024-02-06,57869,,,False
2024-02-07,58257,,,False
2024-02-08,66504,Isra Mikraj Nabi Muhammad SAW,Agama (Islam),True
2024-02-09,56678,Cuti Bersama Tahun Baru Imlek,Cuti Bersama,True
2024-02-10,57448,Tahun Baru Imlek,Agama (Konghucu),True
2024-02-11,62104,,,False
2024-02-12,60982,,,False
2024-02-13,61494,,,False
2024-02-15,64756,,,False
2024-02-16,66999,,,False
2024-02-19,70509,,,False
2024-02-20,71403,,,False
2024-02-21,72560,,,False
2024-02-22,74537,,,False
2024-02-23,75991,,,False
2024-02-26,76334,,,False
2024-02-27,75927,,,False
2024-02-28,75568,,,False
2024-02-29,74393,,,False
2024-03-01,72998,,,False
2024-03-04,70231,,,False
2024-03-05,69269,,,False
2024-03-06,69290,,,False
2024-03-07,68978,,,False
2024-03-08,68975,Maha Shivaratri,Agama (Hindu),True
2024-03-12,69333,"Awal Ramadan, Cuti Bersama Hari Raya Nyepi","Agama (Islam), Cuti Bersama",True
2024-03-13,76570,,,False
2024-03-14,77943,,,False
2024-03-15,75730,,,False
2024-03-18,62327,,,False
2024-03-19,57950,,,False
2024-03-20,55966,Ekuinoks Maret,Fenomena Alam,True
2024-03-21,53277,,,False
2024-03-22,51502,,,False
2024-03-25,48044,Holi,Agama (Hindu),True
2024-03-26,47322,,,False
2024-03-27,46445,,,False
2024-03-28,45699,,,False
2024-03-29,60000,Jumat Agung,Agama (Kristen),True
2024-04-01,46145,,,False
2024-04-02,46866,,,False
2024-04-03,47041,,,False
2024-04-04,47220,,,False
2024-04-05,47645,,,False
2024-04-06,49988,,,False
2024-04-07,60224,,,False
2024-04-08,63999,Cuti Bersama Idul Fitri,Cuti Bersama,True
2024-04-09,65645,Cuti Bersama Idul Fitri,Cuti Bersama,True
2024-04-10,60126,Hari Raya Idul Fitri,Agama (Islam),True
2024-04-11,57166,Libur Hari Raya Idul Fitri,Agama (Islam),True
2024-04-12,59346,Cuti Bersama Idul Fitri,Cuti Bersama,True
2024-04-13,53243,,,False
2024-04-14,45319,,,False
2024-04-15,46660,Cuti Bersama Idul Fitri,Cuti Bersama,True
2024-04-16,43956,,,False
2024-04-17,42366,,,False
2024-04-18,41878,,,False
2024-04-19,42155,,,False
2024-04-20,31926,,,False
2024-04-21,59437,,,False
2024-04-22,42700,,,False
2024-04-23,42648,,,False
2024-04-24,42893,,,False
2024-04-25,43352,,,False
2024-04-26,44047,,,False
2024-04-27,10000,,,False
2024-04-29,49750,,,False
2024-04-30,51415,,,False
2024-05-01,63333,Hari Buruh Internasional,Nasional,True
2024-05-02,52137,,,False
2024-05-03,52396,,,False
2024-05-04,45672,,,False
2024-05-05,45000,,,False
